m,p,t,alpha,Cl,Cd,Cm
0.0145,0.22187500000000002,0.12575,4.25,0.6465511322021484,0.007818112149834633,-0.02737070433795452
0.0785,0.503125,0.17075,5.45,1.4700874090194702,0.01155347190797329,-0.20215992629528046
0.0535,0.25312500000000004,0.14225000000000002,6.550000000000001,1.2586575746536255,0.011432916857302189,-0.0889221727848053
0.05450000000000001,0.40937500000000004,0.09125,4.65,1.1450587511062622,0.007709113415330648,-0.13919338583946228
0.08249999999999999,0.384375,0.10475000000000001,2.45,1.1954680681228638,0.009501117281615734,-0.19683468341827393
0.04650000000000001,0.490625,0.11525000000000002,1.35,0.7558619976043701,0.0060486202128231525,-0.14078086614608765
0.0885,0.19062500000000002,0.09425,5.050000000000001,1.3909558057785034,0.014987350441515446,-0.13251501321792603
0.0625,0.259375,0.19475000000000003,6.75,1.2722768783569336,0.014390946365892887,-0.07927805185317993
0.044500000000000005,0.171875,0.16625,2.6500000000000004,0.7161561250686646,0.0095569659024477,-0.05182386934757233
0.0725,0.271875,0.10625000000000001,1.55,0.9296925663948059,0.010477930307388306,-0.13839523494243622
0.03350000000000001,0.140625,0.13625,2.75,0.6326807141304016,0.008836165070533752,-0.03981413319706917
0.0175,0.584375,0.11675,4.15,0.7081296443939209,0.007623635232448578,-0.059961725026369095
0.0745,0.28437500000000004,0.08075,2.55,1.057753562927246,0.010182959958910942,-0.14914466440677643
0.051500000000000004,0.34062500000000007,0.12275000000000001,0.35000000000000003,0.6228055357933044,0.008182707242667675,-0.11567351967096329
0.0695,0.13437500000000002,0.08675000000000001,4.45,1.143953561782837,0.014313094317913055,-0.09083282947540283
0.0225,0.34687500000000004,0.10775000000000001,6.3500000000000005,0.9491005539894104,0.009867673739790916,-0.049439579248428345
0.0195,0.546875,0.15725,5.3500000000000005,0.857460618019104,0.008934957906603813,-0.060259945690631866
0.018500000000000003,0.44062500000000004,0.16775,0.75,0.3147274851799011,0.006996188312768936,-0.04927951842546463
0.0395,0.540625,0.19025000000000003,6.65,1.1398906707763672,0.011389076709747314,-0.09621099382638931
0.0165,0.415625,0.15875,5.65,0.8335698843002319,0.008926800452172756,-0.04064006358385086
0.061500000000000006,0.321875,0.18875000000000003,5.95,1.2373969554901123,0.01217435859143734,-0.10225595533847809
0.021500000000000002,0.37187499999999996,0.10325000000000001,2.05,0.5077742338180542,0.005666457116603851,-0.057955726981163025
0.0235,0.27812500000000007,0.12425,2.25,0.5019419193267822,0.006629342213273048,-0.04380985349416733
0.0815,0.215625,0.13325,2.1500000000000004,1.0438554286956787,0.01286997925490141,-0.1262269765138626
0.0645,0.5593750000000001,0.18425000000000002,2.95,1.1316919326782227,0.00915889535099268,-0.19117610156536102
0.025500000000000002,0.178125,0.11225000000000002,0.95,0.35560154914855957,0.006125283893197775,-0.03639588505029678
0.07150000000000001,0.328125,0.17825000000000002,5.15,1.2605725526809692,0.01211527455598116,-0.12585964798927307
0.052500000000000005,0.565625,0.16325,6.050000000000001,1.2607276439666748,0.011099402792751789,-0.14551658928394318
0.0865,0.159375,0.13175,6.25,1.4174765348434448,0.01858377456665039,-0.09543289989233017
0.0635,0.421875,0.08825000000000001,1.9500000000000002,0.9647826552391052,0.006277099251747131,-0.16759005188941956
0.0205,0.334375,0.19775000000000004,3.75,0.6281959414482117,0.008425100706517696,-0.036056626588106155
0.013500000000000002,0.203125,0.19625,6.45,0.8086304068565369,0.0101942652836442,-0.0063673947006464005
0.05650000000000001,0.303125,0.13925,7.550000000000001,1.4045696258544922,0.011647310107946396,-0.1051635816693306
0.0775,0.31562500000000004,0.12875,5.25,1.3732492923736572,0.011292154900729656,-0.15148290991783142
0.0665,0.228125,0.18275000000000002,6.95,1.319008469581604,0.015254804864525795,-0.07808378338813782
0.08449999999999999,0.446875,0.18575000000000003,3.55,1.296424388885498,0.012119523249566555,-0.19494172930717468
0.05850000000000001,0.209375,0.15425,0.15000000000000002,0.6197699308395386,0.010894902981817722,-0.09016454964876175
0.0835,0.428125,0.19325000000000003,0.45,0.9612240791320801,0.010573722422122955,-0.18865816295146942
0.0855,0.365625,0.17375000000000002,1.75,1.080479383468628,0.011615537106990814,-0.17189553380012512
